"time","level","message"
"2018-03-01 16:25:36","INFO","Log opened."
"2018-03-01 16:25:36","INFO","[scrapy.log] Scrapy 1.4.0 started"
"2018-03-01 16:25:36","INFO","[stderr] /usr/local/lib/python2.7/site-packages/scrapy/crawler.py:134: ScrapyDeprecationWarning: SPIDER_MANAGER_CLASS option is deprecated. Please use SPIDER_LOADER_CLASS."
"2018-03-01 16:25:36","INFO","[stderr]   self.spider_loader = _get_spider_loader(settings)"
"2018-03-01 16:25:36","INFO","[root] Slybot 0.13.1 Spider"
"2018-03-01 16:25:38","INFO","[scrapy.utils.log] Scrapy 1.4.0 started (bot: scrapybot)"
"2018-03-01 16:25:38","INFO","[scrapy.utils.log] Overridden settings: {'LOG_LEVEL': 'INFO', 'AUTOTHROTTLE_ENABLED': True, 'LOG_ENABLED': False, 'MEMUSAGE_LIMIT_MB': 950, 'STATS_CLASS': 'sh_scrapy.stats.HubStorageStatsCollector', 'TELNETCONSOLE_HOST': '0.0.0.0'}"
"2018-03-01 16:25:38","WARNING","[py.warnings] /src/slybot/slybot/slybot/plugins/scrapely_annotations/builder.py:366: ScrapyDeprecationWarning: Attribute `_root` is deprecated, use `root` instead
  elems = [elem._root for elem in self.selector.css(selector)]
"
"2018-03-01 16:25:39","WARNING","[py.warnings] /src/slybot/slybot/slybot/closespider.py:10: ScrapyDeprecationWarning: Importing from scrapy.xlib.pydispatch is deprecated and will no longer be supported in future Scrapy versions. If you just want to connect signals use the from_crawler class method, otherwise import pydispatch directly if needed. See: https://github.com/scrapy/scrapy/issues/1762
  from scrapy.xlib.pydispatch import dispatcher
"
"2018-03-01 16:25:39","INFO","[scrapy.middleware] Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.logstats.LogStats',
 'scrapy.extensions.debug.StackTraceDump',
 'scrapy.extensions.telnet.TelnetConsole',
 'slybot.closespider.SlybotCloseSpider',
 'scrapy.extensions.spiderstate.SpiderState',
 'scrapy.extensions.throttle.AutoThrottle',
 'sh_scrapy.extension.HubstorageExtension']"
"2018-03-01 16:25:39","INFO","[scrapy.middleware] Enabled downloader middlewares:
['sh_scrapy.diskquota.DiskQuotaDownloaderMiddleware',
 u'slybot.splash.SlybotJsMiddleware',
 'scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats',
 'sh_scrapy.middlewares.HubstorageDownloaderMiddleware']"
"2018-03-01 16:25:39","WARNING","[py.warnings] /usr/local/lib/python2.7/site-packages/scrapy_pagestorage.py:50: ScrapyDeprecationWarning: log.msg has been deprecated, create a python logger and log through it instead
  log.msg(""HubStorage: writing pages to %s"" % endpoint)
"
"2018-03-01 16:25:39","INFO","[scrapy.log] HubStorage: writing pages to https://storage.scrapinghub.com/collections/288082/cs/Pages"
"2018-03-01 16:25:40","INFO","[scrapy.middleware] Enabled spider middlewares:
['sh_scrapy.diskquota.DiskQuotaSpiderMiddleware',
 'sh_scrapy.middlewares.HubstorageSpiderMiddleware',
 'scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware',
 'scrapy_pagestorage.PageStorageMiddleware']"
"2018-03-01 16:25:40","INFO","[scrapy.middleware] Enabled item pipelines:
['slybot.dupefilter.DupeFilterPipeline']"
"2018-03-01 16:25:40","INFO","[scrapy.core.engine] Spider opened"
"2018-03-01 16:25:40","INFO","[scrapy.extensions.logstats] Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)"
"2018-03-01 16:25:40","INFO","TelnetConsole starting on 6023"
"2018-03-01 16:25:41","WARNING","[py.warnings] /usr/local/lib/python2.7/site-packages/scrapy/link.py:21: UserWarning: Link urls must be str objects. Assuming utf-8 encoding (which could be wrong)
  warnings.warn(""Link urls must be str objects. ""
"
"2018-03-01 16:25:57","WARNING","[scrapy.core.scraper] Dropped: Duplicate product scraped at <http://www.smartskincare.com/forum/index.php?c=2>, first one was scraped at <http://www.smartskincare.com/forum/>
{u'Subtitle': [u'phpBB'],
 u'Title': [u'Log in Username: Password: Log me on automatically each visit New posts No new posts Forum is locked Powered by phpBB'],
 '_cached_page_id': '261a6aea8dd7d6ba7b508bc7a94e865bf0373928',
 u'_template': '3ad8-4d55-b07c',
 u'_type': u'Period Skin Care Companies maternity skin care',
 u'url': 'http://www.smartskincare.com/forum/index.php?c=2'}"
"2018-03-01 16:25:59","WARNING","[scrapy.core.scraper] Dropped: Duplicate product scraped at <http://www.smartskincare.com/forum/>, first one was scraped at <http://www.smartskincare.com/forum/>
{u'Subtitle': [u'phpBB'],
 u'Title': [u'Log in Username: Password: Log me on automatically each visit New posts No new posts Forum is locked Powered by phpBB'],
 '_cached_page_id': '7ca5d4da71f645913ec0d205f02b7854eb585e62',
 u'_template': '3ad8-4d55-b07c',
 u'_type': u'Period Skin Care Companies maternity skin care',
 u'url': 'http://www.smartskincare.com/forum/'}"
"2018-03-01 16:26:00","WARNING","[scrapy.core.scraper] Dropped: Duplicate product scraped at <http://www.smartskincare.com/forum/privmsg.php?mode=post&u=60900>, first one was scraped at <http://www.smartskincare.com/forum/privmsg.php?mode=post&u=60909>
{u'Subtitle': [u'phpBB'],
 u'Title': [u'Smart Skin Care Forum Index Information Private messaging has been disabled on this board. Powered by phpBB'],
 '_cached_page_id': '00b6dcdff50a995cc80c4ad0af296b95cd76b5fc',
 u'_template': '3ad8-4d55-b07c',
 u'_type': u'Period Skin Care Companies maternity skin care',
 u'url': 'http://www.smartskincare.com/forum/privmsg.php?mode=post&u=60900'}"
"2018-03-01 16:26:01","WARNING","[scrapy.core.scraper] Dropped: Duplicate product scraped at <http://www.smartskincare.com/forum/privmsg.php?mode=post&u=4>, first one was scraped at <http://www.smartskincare.com/forum/privmsg.php?mode=post&u=60909>
{u'Subtitle': [u'phpBB'],
 u'Title': [u'Smart Skin Care Forum Index Information Private messaging has been disabled on this board. Powered by phpBB'],
 '_cached_page_id': '1b48ddbe54010c04b2937f55630dd7124edab52a',
 u'_template': '3ad8-4d55-b07c',
 u'_type': u'Period Skin Care Companies maternity skin care',
 u'url': 'http://www.smartskincare.com/forum/privmsg.php?mode=post&u=4'}"
"2018-03-01 16:26:12","WARNING","[scrapy.core.scraper] Dropped: Duplicate product scraped at <http://www.smartskincare.com/forum/privmsg.php?mode=post&u=60932>, first one was scraped at <http://www.smartskincare.com/forum/privmsg.php?mode=post&u=60909>
{u'Subtitle': [u'phpBB'],
 u'Title': [u'Smart Skin Care Forum Index Information Private messaging has been disabled on this board. Powered by phpBB'],
 '_cached_page_id': '0c904fb6f05a14f6fbb54f69d6223a61af234017',
 u'_template': '3ad8-4d55-b07c',
 u'_type': u'Period Skin Care Companies maternity skin care',
 u'url': 'http://www.smartskincare.com/forum/privmsg.php?mode=post&u=60932'}"
"2018-03-01 16:26:13","WARNING","[scrapy.core.scraper] Dropped: Duplicate product scraped at <http://www.smartskincare.com/forum/viewtopic.php?p=11998>, first one was scraped at <http://www.smartskincare.com/forum/viewtopic.php?p=12145>
{u'Author': [u'dprato Joined: 23 Aug 2007 Posts: 2 Location: santa clara Posted: Thu Aug 23, 2007 3:31 pm Post subject: horse chestnut seed and vitamin K for dark circles Hey There, I have heard that horse chestnut seed extract and vitamin K strengthen capillary walls, thereby reducing under eye pigmentation due to leaky blood vessels. These are also 2 of the ingredients in the famous and expensive Teamine. Dr T could you provide a formula for a DIY cream with these ingredients? Would they be water soluable or oil soluable? Back to top jamesherried'],
 u'Subtitle': [u'Eye Area Skin Care'],
 u'Title': [u'horse chestnut seed and vitamin K for dark circles'],
 '_cached_page_id': 'a2b5f2e4fe9afc5aa653a259bfa1d48b4f4d50f2',
 u'_template': '3ad8-4d55-b07c',
 u'_type': u'Period Skin Care Companies maternity skin care',
 u'url': 'http://www.smartskincare.com/forum/viewtopic.php?p=11998'}"
